City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ponta do sol,40,PT,1513207800,77,32.67,-17.1,64.4,10.29
1,matagami,75,CA,1513208460,84,49.75,-77.63,-2.21,20.8
2,quesnel,1,CA,1513206000,96,53.0,-122.5,35.6,2.24
3,brae,92,GB,1513207200,86,60.4,-1.35,42.8,11.41
4,conceicao das alagoas,20,BR,1513206000,61,-19.91,-48.39,77.0,10.29
5,puerto ayora,20,EC,1513206000,64,-0.74,-90.35,75.2,13.87
6,tasiilaq,8,GL,1513209000,68,65.61,-37.64,26.6,6.93
7,hilo,75,US,1513205760,73,19.73,-155.09,73.4,14.99
8,rikitea,48,PF,1513209654,100,-23.12,-134.97,76.39,13.91
9,santa fe,1,US,1513209300,20,35.69,-105.94,46.4,9.17
10,hermanus,92,ZA,1513209654,98,-34.42,19.23,57.62,2.24
11,ribeira grande,92,PT,1513209655,100,38.52,-28.7,64.69,12.68
12,saint george,1,US,1513205760,14,37.1,-113.58,57.2,1.61
13,ostrovnoy,20,RU,1513209656,86,68.05,39.51,22.61,22.08
14,huicheng,75,CN,1513206000,82,23.04,116.29,60.8,4.47
15,port elizabeth,75,ZA,1513206000,82,-33.92,25.57,62.6,19.46
16,los llanos de aridane,75,ES,1513207800,59,28.66,-17.92,66.2,18.34
17,saint-philippe,0,RE,1513207800,73,-21.36,55.77,78.8,5.82
18,jamestown,90,US,1513209360,85,42.1,-79.24,17.6,6.93
19,lashio,0,MM,1513209658,97,22.93,97.75,49.84,1.9
20,omsukchan,24,RU,1513209659,57,62.53,155.8,-21.49,12.46
21,new norfolk,75,AU,1513206000,47,-42.78,147.06,75.2,14.99
22,hofn,56,IS,1513209660,100,64.25,-15.21,37.51,30.31
23,sola,64,VU,1513209661,99,-13.88,167.55,82.37,3.85
24,atuona,24,PF,1513209661,100,-9.8,-139.03,80.21,12.35
25,energeticheskiy,90,KZ,1513207800,92,43.43,77.02,21.2,6.71
26,rio cuarto,20,AR,1513206000,68,-33.13,-64.35,71.6,8.05
27,albany,90,US,1513208700,62,42.65,-73.76,21.2,10.29
28,punta arenas,75,CL,1513206000,62,-53.15,-70.92,51.8,19.46
29,lima,12,PE,1513209554,70,-12.04,-77.03,62.84,2.28
30,porto belo,75,BR,1513206000,73,-27.16,-48.55,75.2,14.99
31,columbia,1,US,1513208100,41,34.0,-81.03,44.6,5.82
32,tiksi,8,RU,1513209664,0,71.69,128.87,-47.59,2.39
